"","id","dam","sire"
"245","1983_G-03_2",NA,NA
"246","1983_H=FW2_1",NA,NA
"247","1983_H=FW2_2",NA,NA
"248","1983_K-01_1",NA,NA
"249","1983_K-01_2",NA,NA
"250","1983_L=69_2",NA,NA
"251","684-45322",NA,NA
"252","1983_M-04_1",NA,NA
"253","1983_M-04_2",NA,NA
"254","684-45212",NA,NA
"255","684-45339",NA,NA
"256","1983_P-04_2",NA,NA
"257","1983_Q=128_1",NA,NA
"258","1983_Q=128_2",NA,NA
"259","1983_Q=21b_1",NA,NA
"260","1983_S=116N_1",NA,NA
"261","1983_S=116N_2",NA,NA
"262","1983_U=97N_1",NA,NA
"263","1983_U=97N_2",NA,NA
"264","1983_V=122A_1",NA,NA
"265","1983_V=122A_2",NA,NA
"266","1983_V=SBLB_1",NA,NA
"267","1983_V=SBLB_2",NA,NA
"268","1984_126st_1",NA,NA
"269","1984_149_1",NA,NA
"270","1984_97nw1_1",NA,NA
"271","1984_97nw1_R1",NA,NA
"272","1984_97nw1_R2",NA,NA
"273","1984_97nw2_1",NA,NA
"274","1984_97nw2_2",NA,NA
"275","1984_A-04_1",NA,NA
"276","1984_C-14_1",NA,NA
"277","1984_ditch_1",NA,NA
"278","1984_E-06_1",NA,NA
"279","1984_E-06_2",NA,NA
"280","1984_E-08_2",NA,NA
"281","1984_E-12_2",NA,NA
"282","1984_E-13_1",NA,NA
"283","1984_E-13_2",NA,NA
"284","1984_G-04_1",NA,NA
"285","1984_G-04_2",NA,NA
"286","1984_H=FFW_2",NA,NA
"287","1984_H=FFW_3",NA,NA
"288","1984_I-01_2",NA,NA
"289","1984_I-11_1",NA,NA
"290","1984_I-11_2",NA,NA
"291","1984_M-13_1",NA,NA
"292","1984_M-13_2",NA,NA
"293","1984_mbrl1_1",NA,NA
"294","1984_mbrl1_2",NA,NA
"295","1984_mbrl2_2",NA,NA
"296","1984_P-09_1",NA,NA
"297","1984_P-09_2",NA,NA
"298","1984_Q-12_2",NA,NA
"299","1984_S-116N_2",NA,NA
"300","1984_toxic_1",NA,NA
"301","1984_U=97w_1",NA,NA
"302","1984_U=97w_2",NA,NA
"303","1984_V=37PR_1",NA,NA
"304","1984_V=SBLB_2",NA,NA
"305","1985_46F_1",NA,NA
"306","1985_46F_2",NA,NA
"307","1985_46PLY_1",NA,NA
"308","1985_46PLY_2",NA,NA
"309","1985_97nw1_1",NA,NA
"310","1985_97nw1_2",NA,NA
"311","1985_97nw2_1",NA,NA
"312","1985_97nw2_2",NA,NA
"313","1985_97nw3_1",NA,NA
"314","1985_97nw3_2",NA,NA
"315","1985_A=66e_1",NA,NA
